"date","value","volume","eye"
"2015-12-06 16:29:39",153.0,75.9,1
"2015-12-06 16:29:40",149.4,78.6,1
"2015-12-06 16:29:41",132.4,74.8,1
"2015-12-06 16:29:42",129.6,75.1,1
"2015-12-06 16:29:43",150.1,75.7,1
"2015-12-06 16:29:44",128.2,77.3,0
"2015-12-06 16:29:45",139.8,76.2,0
"2015-12-06 16:29:46",162.8,72.9,0
"2015-12-06 16:29:47",147.7,76.1,0
"2015-12-06 16:29:48",136.0,75.8,0
"2015-12-06 16:29:49",142.9,76.4,1
"2015-12-06 16:29:50",156.6,75.8,1
"2015-12-06 16:29:51",135.6,75.1,1
"2015-12-06 16:29:52",140.6,75.0,1
"2015-12-06 16:29:53",154.9,75.4,1
"2015-12-06 16:29:54",150.6,73.0,1
"2015-12-06 16:29:55",140.6,75.7,1
"2015-12-06 16:29:56",154.4,73.4,1
"2015-12-06 16:29:57",125.0,73.0,1
"2015-12-06 16:29:58",141.3,74.8,1
"2015-12-06 16:29:59",151.5,73.8,1
"2015-12-06 16:30:00",150.4,74.2,1
"2015-12-06 16:30:01",179.5,62.7,1
"2015-12-06 16:30:02",0,0,1
"2015-12-06 16:30:03",0,0,1
"2015-12-06 16:30:04",170.1,76.9,1
"2015-12-06 16:30:05",165.6,77.9,1
"2015-12-06 16:30:06",168.8,75.5,1
"2015-12-06 16:30:07",133.9,78.0,1
"2015-12-06 16:30:08",143.1,78.4,1
"2015-12-06 16:30:09",151.8,74.8,1
"2015-12-06 16:30:10",146.6,77.7,1
"2015-12-06 16:30:11",150.1,75.2,1
"2015-12-06 16:30:12",169.5,73.8,1
"2015-12-06 16:30:13",0,0,1
"2015-12-06 16:30:14",135.0,70.2,1
"2015-12-06 16:30:15",163.6,77.9,1
"2015-12-06 16:30:16",130.0,76.0,1
"2015-12-06 16:30:17",154.3,73.5,1
"2015-12-06 16:30:18",149.5,77.0,1
"2015-12-06 16:30:19",137.6,75.8,1
"2015-12-06 16:30:20",139.4,74.4,1
"2015-12-06 16:30:21",139.6,74.2,1
"2015-12-06 16:30:22",156.4,75.6,1
"2015-12-06 16:30:23",145.4,73.4,1
"2015-12-06 16:30:24",146.9,73.5,1
"2015-12-06 16:30:25",0,0,1
"2015-12-06 16:30:26",0,0,1
"2015-12-06 16:30:27",0,0,1
"2015-12-06 16:30:28",0,0,1
"2015-12-06 16:30:29",0,0,1
"2015-12-06 16:30:30",0,0,1
"2015-12-06 16:30:31",0,0,1
"2015-12-06 16:30:32",0,0,1
"2015-12-06 16:30:33",185.1,79.7,1
"2015-12-06 16:30:34",164.7,76.9,1
"2015-12-06 16:30:35",166.4,77.1,1
"2015-12-06 16:30:36",136.0,78.7,1
"2015-12-06 16:30:37",161.9,75.5,1
"2015-12-06 16:30:38",176.2,72.1,1
"2015-12-06 16:30:39",160.0,78.1,1
"2015-12-06 16:30:40",138.9,77.0,1
"2015-12-06 16:30:41",162.1,73.2,1
"2015-12-06 16:30:42",175.9,74.3,1
"2015-12-06 16:30:43",138.8,75.4,1
"2015-12-06 16:30:44",162.4,76.7,1
"2015-12-06 16:30:45",160.0,36.2,1
"2015-12-06 16:30:46",178.4,77.0,1
"2015-12-06 16:30:47",149.5,76.5,1
"2015-12-06 16:30:48",149.3,75.6,1
"2015-12-06 16:30:49",128.1,75.7,1
"2015-12-06 16:30:51",191.7,75.2,1
"2015-12-06 16:30:52",0,0,1
"2015-12-06 16:30:53",166.4,56.6,1
"2015-12-06 16:30:54",142.7,77.7,1
"2015-12-06 16:30:55",154.4,75.3,1
"2015-12-06 16:30:56",133.3,74.2,1
"2015-12-06 16:30:57",153.2,77.0,1
"2015-12-06 16:30:58",147.9,73.1,1
"2015-12-06 16:30:59",140.8,79.1,1
"2015-12-06 16:31:00",162.0,79.4,1
"2015-12-06 16:31:01",165.3,76.5,1
"2015-12-06 16:31:02",142.6,72.6,1
"2015-12-06 16:31:03",235.3,62.2,1
"2015-12-06 16:31:04",182.5,80.4,1
"2015-12-06 16:31:05",181.9,80.9,1
"2015-12-06 16:31:06",180.6,78.4,1
"2015-12-06 16:31:07",179.0,75.4,1
"2015-12-06 16:31:08",0,0,1
"2015-12-06 16:31:09",173.8,78.5,1
"2015-12-06 16:31:10",0,0,1
"2015-12-06 16:31:11",202.3,79.7,1
"2015-12-06 16:31:12",155.5,60.7,1
"2015-12-06 16:31:13",131.1,23.7,1
"2015-12-06 16:31:14",0,0,1
"2015-12-06 16:31:15",156.6,76.1,1
"2015-12-06 16:31:16",141.8,76.1,1
"2015-12-06 16:31:17",167.1,45.1,1
"2015-12-06 16:31:18",154.2,77.4,1
"2015-12-06 16:31:19",133.6,77.7,1
"2015-12-06 16:31:20",141.3,74.6,1
"2015-12-06 16:31:21",148.4,74.7,1
"2015-12-06 16:31:22",155.0,69.3,1
"2015-12-06 16:31:23",0,0,1
"2015-12-06 16:31:25",164.3,69.8,1